Id,Name,Maker,Type,Mechanic,PlayerCount,AgeLimit,DiceUsage,CardUsage,AveragePlayTime,Price,QuantityAvailable,QuantitySold
1,Catan,Klaus Teuber,Strategy,Resource management,3-4 players,10+,false,false,60-90 minutes,300,50,200
2,Dixit,Jean-Louis Roubira,Card Game,Storytelling,3-6,8+,false,true,30 min,250,100,50
3,Risk,Albert Lamorisse,Strategy,Area control,2-6 players,10+,false,false,120+ minutes,350,30,180
4,Monopoly,Charles Darrow,Family Game,Money management,2-8 players,8+,false,false,60-180 minutes,200,100,400
5,Taboo,Brian Hersch,Party Game,Word game,4+ players,12+,false,true,20-30 minutes,150,60,300
6,Pandemic,Matt Leacock,Cooperative,Cooperative play,2-4 players,8+,false,false, 45-60 minutes,350,25,120
7,Uno,Merle Robbins,Card Game,Shedding,2-10 players,7+,false,false,15-30 minutes,100,200,1000
8,Carcassonne,Klaus-Jürgen Wrede,Tile-Placement,Map-building,2-5 players,8+,false,false,30 minutes,200,70,250
9,Chess,Unknown,Logic and Strategy,Grid movement,2 players,6+,false,false,10 minutes to 1 hour,150,150,500
10,Exploding Kittens,Elan Lee, Matthew Inman, Shane Small,Party Game,Press your luck,2-5 players,7+,false,false,15-20 minutes,200,80,300
